% Bus Data
%	Bus_I	Pd	Qd	Bs	Type	Vm	Va	basekV	Vmax	Vmin
bus=[
122	31  	    60      	0	3	1	0	32	1.05	0.95
123	17  	    81  	    0	3	1	0	32	1.05	0.95
124	34    	    16      	0	3	1	0	32	1.05	0.95
125	51  	    16      	0	3	1	0	32	1.05	0.95
126	72	        34      	0	3	1	0	32	1.05	0.95
127	68      	33  	    0	3	1	0	32	1.05	0.95
128	70	        30  	    0	3	1	0	32	1.05	0.95
129	41  	    21      	0	3	1	0	32	1.05	0.95
130	27	        43      	0	3	1	0	32	1.05	0.95
131	17   	    81      	0	3	1	0	32	1.05	0.95
132	61  	    81      	0	3	1	0	32	1.05	0.95
133	34  	    16      	0	3	1	0	32	1.05	0.95
134	102 	    49      	0	3	1	0	32	1.05	0.95
135	170 	    81  	    0	3	1	0	32	1.05	0.95
136	409  	    22  	    0	3	1	0	32	1.05	0.95
137	201 	    5   	    0	3	1	0	32	1.05	0.95
138	33 	        73  	    0	3	1	0	32	1.05	0.95
139	70  	    16  	    0	3	1	0	32	1.05	0.95
140	0	        0	        0	3	1	0	32	1.05	0.95
141	0	        0  	        0	3	1	0	32	1.05	0.95
142 0           0  	        0	3	1	0	32	1.05	0.95
143	0	        0   	    0	3	1	0	32	1.05	0.95
144	0           0	        0	3	1	0	32	1.05	0.95
145	0	        0         	0	3	1	0	32	1.05	0.95
146	0	        0        	0	3	1	0	32	1.05	0.95
147	0	        0	        0	3	1	0	32	1.05	0.95
148	0	        0	        0	3	1	0	32	1.05	0.95
149	0	        0	        0	3	1	0	32	1.05	0.95
150	0	        0	        0	3	1	0	32	1.05	0.95
151	34	        16	        0	3	1	0	32	1.05	0.95
152	85	        33	        0	3	1	0	32	1.05	0.95
153	68  	    33	        0	3	1	0	32	1.05	0.95
154	34   	    16      	0	3	1	0	32	1.05	0.95
155	86	        16   	    0	3	1	0	32	1.05	0.95
156	34	        16   	    0	3	1	0	32	1.05	0.95
157	68   	    32  	    0	3	1	0	32	1.05	0.95];


%% Line Data
%   f	t	r(ohm)	x(ohm)	Status	Ratio	RateA
branch=[
1	2	0.015	0.011	1	0	9990
2	3	0.056	0.054	1	0	9990
3	4	0.107	0.105	1	0	9990
4	5	1.78	1.033	1	0	9990
5	6	1.78	1.034	1	0	9990
6	7	0.2 	0.1 	1	0	9990
7	8	0.05 	0.007	1	0	9990
8	9	0.1 	0.1 	1	0	9990
9	10	0.006	0.015	1	0	9990
10	11	0.15 	0.1 	1	0	9990
11	12	0.006 	0.002	1	0	9990
12	13	0.001	0.001	1	0	9990
13	14	1.41	1.36	1	0	9990
14	15	0.29	0.18	1	0	9990
15	16	0.19	0.18	1	0	9990
16	17	1.01	0.97	1	0	9990
17	18	0.8 	0.6 	1	0	9990
18	19	0.005	0.005	1	0	9990
19	20	0.005	0.005	1	0	9990
20	21	0.005	0.008	1	0	9990
21	22	0.005	0.005	1	0	9990
22	23	0.005	0.005	1	0	9990
23	24	0.005	0.003	1	0	9990
24	25	0.007	0.007	1	0	9990
25	26	0.05	0.005	1	0	9990
26	27	0.006	0.002	1	0	9990
27	28	0.32	0.1 	1	0	9990
28	29	0.37	0.1	    1	0	9990
29	30	0.003	0.001	1	0	9990
30	31	0.12	0.47	1	0	9990
30	32	0.01	0.012	1	0	9990
